"Timestamp","Path","ReadMethod","ConversationTag"
"2026-02-20T12:16:34.6728930+01:00","C:/Users/peorr/.codex/skills/read-audit-counter/SKILL.md","Get-Content","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/services/authService.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/services/profileService.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/services/profilePhotoService.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/lib/supabase.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/_shared/auth.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/profiles/index.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/profiles-recommendations/index.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/config/api.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","package.json","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/auth-login/index.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/auth-register/index.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/auth-register-phase3/index.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/context/AuthContext.tsx","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/migrations/20260219_flat_expenses_settlements.sql","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/types/swipeRejection.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","src/types/swipeFilters.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/_shared/types.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/_shared/supabaseAdmin.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/_shared/cors.ts","Get-Content/rg","read-audit-counter"
"2026-02-20T12:20:02.0580842+01:00","supabase/functions/upload-avatar/index.ts","Get-Content/rg","read-audit-counter"
